what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1348102862934
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1348102869785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348102873820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348102874848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348102875090
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348102875930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348102877177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348103004460
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1348103019857
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1348103019947
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1348103019948
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1348103020038
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1348103020039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348103024121
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1348103075588
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1348103075588
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348103075626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348103077189
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1348103269510
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1348103282328
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1348103293981
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1348103303809
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1348103318677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1348103331575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1348103332814
